city,state,dv_data_value
Chesapeake,VA,75.2
Hoover,AL,70.7
Huntsville,AL,70.5
Avondale,AZ,67.0
Tuscaloosa,AL,72.9
Montgomery,AL,75.1
Gilbert,AZ,66.9
Birmingham,AL,74.9
Anchorage,AK,54.2
Peoria,AZ,66.6
Fayetteville,AR,68.1
Alhambra,CA,68.1
Yuma,AZ,64.3
Little Rock,AR,72.6
Antioch,CA,65.8
Tempe,AZ,66.6
Scottsdale,AZ,66.7
Anaheim,CA,66.2
Alameda,CA,64.8
Springdale,AR,67.6
Jonesboro,AR,72.1
Fort Smith,AR,70.9
Surprise,AZ,66.7
Tucson,AZ,64.7
Chula Vista,CA,67.8
Citrus Heights,CA,65.2
Bellflower,CA,67.7
Chino,CA,68.5
Buena Park,CA,66.9
Apple Valley,CA,68.1
Daly City,CA,65.9
Chico,CA,66.0
Baldwin Park,CA,66.2
Concord,CA,64.4
Corona,CA,66.4
Downey,CA,66.6
Burbank,CA,66.5
Compton,CA,69.2
Carlsbad,CA,67.3
Berkeley,CA,64.6
Carson,CA,69.6
Clovis,CA,64.5
Bakersfield,CA,66.0
Chino Hills,CA,69.7
Costa Mesa,CA,65.8
El Cajon,CA,66.7
Folsom,CA,66.4
Fullerton,CA,66.7
Fremont,CA,65.5
El Monte,CA,65.9
Fairfield,CA,65.8
Fresno,CA,64.6
Glendale,CA,66.3
Fontana,CA,68.7
Escondido,CA,66.6
Elk Grove,CA,67.6
Hayward,CA,64.9
Hawthorne,CA,69.1
Garden Grove,CA,66.7
Hesperia,CA,67.5
Huntington Beach,CA,66.1
Lake Forest,CA,66.5
Lancaster,CA,67.4
Irvine,CA,67.7
Indio,CA,65.3
Livermore,CA,63.2
Chandler,AZ,67.1
Mobile,AL,74.0
Glendale,AZ,66.4
Mesa,AZ,66.2
Phoenix,AZ,66.4
Long Beach,CA,67.5
Lakewood,CA,67.5
Hemet,CA,65.6
Inglewood,CA,70.7
Los Angeles,CA,66.9
Merced,CA,64.7
Mountain View,CA,62.9
Newport Beach,CA,66.4
Mission Viejo,CA,66.4
Moreno Valley,CA,67.4
Milpitas,CA,64.2
Manteca,CA,67.1
Napa,CA,66.8
Lynwood,CA,66.4
Menifee,CA,66.0
Norwalk,CA,66.6
Modesto,CA,65.5
Murrieta,CA,66.4
Oakland,CA,66.3
Rialto,CA,69.1
Pleasanton,CA,64.3
Redondo Beach,CA,67.0
Redwood City,CA,63.9
Pasadena,CA,67.6
Orange,CA,66.1
Rancho Cucamonga,CA,69.2
Redding,CA,61.1
Oceanside,CA,67.2
Richmond,CA,67.0
Perris,CA,66.4
Palmdale,CA,67.0
Pomona,CA,66.5
Oxnard,CA,64.6
Redlands,CA,68.4
Ontario,CA,68.2
San Buenaventura (Ventura),CA,64.7
San Bernardino,CA,68.4
Sacramento,CA,67.2
Salinas,CA,63.3
Roseville,CA,64.1
San Diego,CA,67.8
Riverside,CA,66.2
San Francisco,CA,67.3
San Leandro,CA,65.2
Santa Ana,CA,65.3
San Ramon,CA,66.1
San Marcos,CA,67.1
San Jose,CA,62.9
San Mateo,CA,64.4
Santa Clara,CA,63.3
Santa Maria,CA,63.9
Santa Barbara,CA,64.8
Tracy,CA,68.1
Simi Valley,CA,65.0
Vacaville,CA,64.6
South Gate,CA,65.3
Santa Clarita,CA,66.5
Thousand Oaks,CA,65.2
Torrance,CA,67.8
Santa Monica,CA,66.9
Stockton,CA,68.3
Tustin,CA,66.8
Temecula,CA,66.4
Turlock,CA,65.3
Union City,CA,65.7
Santa Rosa,CA,64.2
Sunnyvale,CA,63.5
Upland,CA,68.8
Victorville,CA,68.8
Denver,CO,58.4
Centennial,CO,62.7
West Covina,CA,67.6
Visalia,CA,63.9
Vallejo,CA,66.9
Aurora,CO,63.2
Colorado Springs,CO,62.1
Boulder,CO,60.1
Arvada,CO,56.7
Vista,CA,66.7
Westminster,CA,67.0
Whittier,CA,66.3
Bridgeport,CT,70.5
New Britain,CT,73.7
Danbury,CT,67.9
Lakewood,CO,56.7
Hartford,CT,76.0
Norwalk,CT,69.0
Westminster,CO,58.4
Waterbury,CT,72.3
Greeley,CO,57.9
Wilmington,DE,76.6
Longmont,CO,59.9
Thornton,CO,59.4
Fort Collins,CO,59.2
New Haven,CT,74.3
Loveland,CO,59.0
Stamford,CT,69.1
Pueblo,CO,61.8
Hollywood,FL,71.2
Cape Coral,FL,70.7
Boynton Beach,FL,73.4
Deerfield Beach,FL,71.8
Clearwater,FL,71.1
Gainesville,FL,70.5
Hialeah,FL,71.0
Boca Raton,FL,71.3
Davie,FL,70.7
Fort Lauderdale,FL,72.2
Coral Springs,FL,71.8
Deltona,FL,68.7
Washington,DC,78.4
Miramar,FL,74.9
Miami,FL,72.6
Jacksonville,FL,73.2
Miami Gardens,FL,78.5
Pembroke Pines,FL,72.5
Palm Bay,FL,71.4
Melbourne,FL,70.7
Palm Coast,FL,72.4
Orlando,FL,72.2
Largo,FL,70.6
Miami Beach,FL,71.6
Lauderhill,FL,77.3
Lakeland,FL,71.5
Atlanta,GA,73.9
Port St. Lucie,FL,68.5
Tallahassee,FL,72.8
St. Petersburg,FL,72.5
Pompano Beach,FL,72.0
Tampa,FL,73.4
Athens,GA,74.8
Albany,GA,78.0
West Palm Beach,FL,73.4
Plantation,FL,72.2
Sunrise,FL,73.1
Johns Creek,GA,70.8
Honolulu,HI,71.3
Savannah,GA,76.5
Macon,GA,78.8
Boise City,ID,59.5
Sandy Springs,GA,71.2
Meridian,ID,59.5
Roswell,GA,70.0
Augusta,GA,78.4
Nampa,ID,54.6
Warner Robins,GA,74.2
Columbus,GA,75.8
Bloomington,IL,66.9
Aurora,IL,67.8
Bolingbrook,IL,72.4
Champaign,IL,67.9
Arlington Heights,IL,66.3
Chicago,IL,69.2
Decatur,IL,67.2
Palatine,IL,66.4
Cicero,IL,65.3
Evanston,IL,68.2
Peoria,IL,68.3
