city,state,mh_data_value
Mobile,AL,16.3
Gilbert,AZ,10.9
Avondale,AZ,13.5
Montgomery,AL,15.8
Anchorage,AK,11.0
Phoenix,AZ,13.9
Mesa,AZ,13.5
Peoria,AZ,12.2
Surprise,AZ,12.5
Springdale,AR,16.0
Anaheim,CA,12.6
Yuma,AZ,13.6
Jonesboro,AR,15.3
Fayetteville,AR,14.1
Fort Smith,AR,17.1
Little Rock,AR,13.3
Antioch,CA,13.5
Scottsdale,AZ,10.5
Alameda,CA,10.1
Tempe,AZ,12.5
Alhambra,CA,10.1
Tucson,AZ,14.4
Berkeley,CA,10.4
Daly City,CA,9.4
Carlsbad,CA,9.9
Buena Park,CA,11.8
Carson,CA,11.2
Corona,CA,12.9
Baldwin Park,CA,12.6
Clovis,CA,12.5
Chico,CA,14.1
Chino Hills,CA,9.5
Compton,CA,15.6
Citrus Heights,CA,14.1
Bellflower,CA,12.8
Chino,CA,12.1
Costa Mesa,CA,12.2
Bakersfield,CA,14.2
Chula Vista,CA,11.7
Apple Valley,CA,14.6
Burbank,CA,11.3
Concord,CA,12.3
Garden Grove,CA,12.2
Glendale,CA,12.3
Hayward,CA,11.7
Escondido,CA,13.6
Downey,CA,11.8
Elk Grove,CA,11.4
Folsom,CA,10.5
El Cajon,CA,15.0
Fairfield,CA,12.7
El Monte,CA,13.9
Fontana,CA,13.2
Fresno,CA,14.8
Hawthorne,CA,13.4
Fremont,CA,8.4
Fullerton,CA,11.4
Lake Forest,CA,10.5
Hemet,CA,16.4
Long Beach,CA,12.7
Lakewood,CA,11.1
Livermore,CA,10.9
Huntington Beach,CA,11.2
Lancaster,CA,14.4
Irvine,CA,9.2
Inglewood,CA,14.0
Indio,CA,14.8
Birmingham,AL,16.8
Huntsville,AL,15.1
Hoover,AL,11.5
Chandler,AZ,11.2
Tuscaloosa,AL,16.4
Glendale,AZ,14.2
Moreno Valley,CA,14.5
Hesperia,CA,15.5
Los Angeles,CA,12.8
Newport Beach,CA,9.4
Norwalk,CA,12.3
Murrieta,CA,12.5
Lynwood,CA,15.4
Modesto,CA,14.8
Mission Viejo,CA,10.4
Mountain View,CA,8.8
Merced,CA,15.7
Milpitas,CA,8.6
Napa,CA,12.7
Menifee,CA,13.5
Perris,CA,15.4
Pomona,CA,13.6
Oakland,CA,12.4
Redlands,CA,12.2
Rancho Cucamonga,CA,11.2
Redwood City,CA,10.9
Redding,CA,14.7
Oxnard,CA,14.1
Redondo Beach,CA,9.3
Palmdale,CA,14.4
Oceanside,CA,12.4
Orange,CA,11.8
Richmond,CA,13.5
Pasadena,CA,10.8
Pleasanton,CA,8.9
Rialto,CA,14.3
Ontario,CA,13.5
Salinas,CA,15.0
Sacramento,CA,13.5
Riverside,CA,13.9
San Buenaventura (Ventura),CA,12.4
San Diego,CA,11.3
Roseville,CA,11.6
San Bernardino,CA,16.4
San Mateo,CA,10.4
San Francisco,CA,10.2
San Marcos,CA,12.0
San Leandro,CA,11.4
